AAXX	Aeródromo de Punto Rothera	-67.56694	-68.12699
AGAF	Afutara Aerodrome	-9.19139	160.94861
AGAR	Ulawa Airport	-9.86054	161.97955
AGAT	Uru Harbour Airport	-8.87333	161.01100
AGBA	Barakoma Airport	-7.91278	156.70599
AGBT	Batuna Aerodrome	-8.56203	158.11931
AGEV	Geva Airport	-7.57583	156.59700
AGGA	Gwaunaru'u Airport	-8.70257	160.68201
AGGB	Bellona/Anua Airport	-11.30222	159.79833
AGGC	Choiseul Bay Airport	-6.71194	156.39611
AGGE	Ballalae Airport	-6.99075	155.88666
AGGF	Fera/Maringe Airport	-8.10750	159.57700
AGGH	Honiara International Airport	-9.42800	160.05499
AGGI	Babanakira Airport	-9.74750	159.83900
AGGJ	Avu Avu Airport	-9.86833	160.41056
AGGK	Ngorangora Airport	-10.44970	161.89799
AGGL	Santa Cruz/Graciosa Bay/Luova Airport	-10.72030	165.79500
AGGM	Munda Airport	-8.32797	157.26300
AGGN	Nusatupe Airport	-8.09778	156.86400
AGGO	Mono Airport	-7.41694	155.56500
AGGP	Parasi Airport	-9.64167	161.42500
AGGR	Rennell/Tingoa Airport	-11.55000	160.06278
AGGS	Sege Airport	-8.57889	157.87601
AGGT	Santa Ana Airport	-10.84799	162.45411
AGGU	Marau Airport	-9.86167	160.82500
AGGV	Suavanao Airport	-7.58556	158.73100
AGGY	Yandina Airport	-9.09282	159.21841
AGIN	Isuna Heliport	-9.80581	159.96272
AGKG	Kaghau Airport	-7.33050	157.58500
AGKU	Kukudu Airport	-8.02620	156.94783
AGKW	Kwailabesi Airport	-8.36051	160.77513
AGLM	Lomlom Airport	-10.29683	166.32732
AGNA	Nana Airport	-10.67580	162.20490
AGOB	Manaoba Airport	-8.32501	160.80051
AGOK	Gatokae Aerodrome	-8.73836	158.20284
AGRC	Ringi Cove Airport	-8.12639	157.14301
AGRM	Ramata Airport	-8.16806	157.64301
AGTI	Tulaghi Heliport	-9.10800	160.14917
AGVH	Viru Harbour Airstrip	-8.50846	157.68999
ANYN	Nauru International Airport	-0.54789	166.91952
AQBC	Boulder Clay Runway	-74.73937	164.03539
ATUA	(Duplicate) Utai Airstrip	-3.38600	141.58680
AYAA	Ama Airport	-4.10111	141.67000
AYAB	Ambaluwa Airstrip	-5.72028	144.92111
AYAC	Akwom Airstrip	-3.94000	141.83278
AYAD	Ande Airstrip	-7.02083	145.82222
AYAE	Mount Aue Airport	-6.22998	144.66418
AYAF	Afore Airstrip	-9.13867	148.39070
AYAG	Agaun Airport	-9.92771	149.38995
AYAH	Ali Airstrip	-7.92584	142.34346
AYAI	Aitape Airport	-3.14361	142.34681
AYAJ	Ambua Airstrip	-5.96149	143.06040
AYAK	Aiambak Airport	-7.34278	141.26750
AYAL	Agali Airstrip	-5.34438	142.21424
AYAM	Amanab Airport	-3.58600	141.21433
AYAN	Andakombe Airport	-7.13722	145.74472
AYAO	Aiome Airport	-5.14570	144.73070
AYAP	Appa Airstrip	-6.51676	144.70681
AYAQ	Kompiam Airport	-5.38167	143.92472
AYAR	Anangalo Airstrip	-4.60000	143.84347
AYAS	Asama Airstrip	-8.02333	147.27167
AYAT	Ambunti Airport	-4.21567	142.82317
AYAU	Arou Airstrip	-5.49510	142.51370
AYAV	Arkosame Airstrip	-3.77718	142.62267
AYAW	Awaba Airport	-8.01341	142.75210
AYAX	Aseki Airport	-7.35081	146.19399
AYAY	Aiyura Airport	-6.33806	145.90417
AYAZ	Asimba Airstrip	-8.60531	147.59274
AYBA	Baimuru Airport	-7.49695	144.82176
AYBB	Bak Airstrip	-5.26850	142.09700
AYBC	Bambu Airport	-5.86361	146.49250
AYBD	Bodinumu Airport	-9.10778	147.66672
AYBE	Boure Airstrip	-9.61850	148.74632
AYBF	Bamu Airport	-7.84850	143.24330
AYBG	Baindoung Airport	-6.34722	146.94222
AYBH	Bensbach Airport	-8.85806	141.25944
AYBI	Bewani Airport	-3.02167	141.16528
AYBJ	Bank Airstrip	-5.36472	144.69047
AYBK	Buka Airport	-5.42230	154.67270
AYBL	Bialla Airport	-5.33056	151.00800
AYBM	Balimo Airport	-8.05000	142.93300
AYBN	Baina Airstrip	-6.89124	143.68308
AYBO	Bomai Airport	-6.37317	144.63700
AYBP	Bapi Airstrip	-7.74361	147.02056
AYBQ	Biangabip Airport	-5.52639	141.74458
AYBR	Biaru Airport	-7.66930	146.75940
AYBS	Begesin Airstrip	-5.38825	145.44739
AYBT	Batri Airstrip	-6.55186	143.94391
AYBU	Bulolo Airport	-7.21629	146.64954
AYBW	Blackwara Airport	-2.61821	141.09197
AYBX	Wowobo Airstrip	-7.34050	144.54770
AYBY	Wuyabo Airstrip	-6.83847	145.87321
AYBZ	Biniguni Airport	-9.64250	149.30389
AYCB	Chungribu Airport	-4.80662	144.71500
AYCG	Cape Gloucester Airport	-5.45523	148.42229
AYCH	Chimbu Airport	-6.02429	144.97099
AYCN	Changriwa Airstrip	-4.32865	143.74058
AYCS	China Strait Airstrip	-10.56278	150.69069
AYDA	Dahamo Airstrip	-5.75319	141.99361
AYDB	Debepare Airport	-6.30861	141.90556
AYDD	Dobu Airstrip	-6.63050	144.63830
AYDE	Derim Airport	-6.14472	147.10722
AYDI	Bundi Airport	-5.74222	145.22750
AYDK	Munduku Airport	-4.62040	143.45160
AYDL	Kondobol Airport	-8.53360	142.50490
AYDM	Duranmin Airstrip	-4.97308	141.90888
AYDN	Dinangat Airport	-6.15460	146.67720
AYDO	Doini Airport	-10.70090	150.72180
